estado	juridica	cnae1	bai.at	bai.fp	ac.at	t.at	v.fp	ac.pc	t.pc	fm.v	pe.pt	cf.pt	fm.at	v.at	v.ac	lnat
1	2	3	.2961082	.421073489	.1464091	.008793761	.1439336	2.874392	.1726444	.9432526	-5.11003497	3.16438	.09547346	.10121727	.6913316	5.554373
1	2	5	-.009955594	-.096807893	.909194	.004297379	19.70714	1.013425	.004790037	.00594309	.89716134	-.01477821	.0120446	2.026655684	2.229068	4.428099
1	1	2	.2742495	.284007391	.02174486	.07651927	.07859036	.218702	.7696032	-1.023612	-3.68731716	2.387474	-.07768204	.075890161	3.490028	8.166466
1	1	2	.1419434	.294181937	.06684525	.02678572	.09561937	1.342636	.538011	.3697433	-3.06368086	1.816657	.01705868	.04613656	.6901995	8.125954
1	2	2	.1850745	.280894763	.1175713	.02379326	.04512584	2.275937	.4605882	2.216879	-1.19227561	.6198983	.06591286	.029732277	.2528872	7.142446
1	2	5	.2604019	.31471219	.1082657	.03372457	.03432481	1.322421	.4119319	.9294072	-6.7689514	2.660553	.0263964	.028401336	.26233	7.442078
1	1	2	.1841101	.256460017	.1070552	.002392707	.07881954	2.499815	.05587139	1.135131	-9.62310921	4.788302	.06422997	.056583752	.5285473	7.756667
1	1	2	.04133514	.177568208	.7413289	.1056068	7.577051	1.285406	.1831138	.09332099	.76721541	.00312438	.1646015	1.763820659	2.379269	6.864796
1	2	2	.05775267	.117197452	.5963591	.02762084	3.028025	1.175743	.05445545	.05973917	.50721908	.07784055	.08913999	1.49215317	2.502105	7.373374
1	1	4	.7303996	.709333507	.4388775	.1170671	.06571961	6.668149	1.778677	5.512825	-2.5376099	2.793669	.3730605	.067671383	.154192	7.40435
1	1	3	1.019355	1.081230628	.7045718	.08108806	-.01468008	-38.81933	-4.467656	-52.21985	-.77631067	2.011931	.7227218	-.013839983	-.01964311	7.496306
1	2	5	.05482546	.16447541	.04337484	.0589101	.03610349	-.8060705	-1.094775	8.075493	-3.65707955	1.34789	.09718507	.012034568	.2774551	6.514302
1	1	2	.3404944	.620776727	.1097447	.007538843	.0841121	3.900362	.267933	1.768877	-1.24182732	1.740227	.08160761	.046135258	.4203873	10.68337
1	1	5	.04089844	.155784558	.6216379	.1615138	7.373471	.8429355	.2190113	-.05983658	.73746791	.03484464	-.11583	1.93577275	3.113988	6.685841
1	2	5	.1687108	.283260199	.8092752	.1378997	4.691084	2.001194	.3410014	.1449088	.40439623	.1351411	.404879	2.794027105	3.452505	6.914414
1	1	1	.7365874	.646803576	.1116693	.3786669	.01240648	-2.312661	-7.842154	11.32136	-.89744702	1.510013	.1599554	.014128646	.1265222	9.114382
1	1	2	.3657533	.599764084	.1573091	.05495452	.1064166	5.806435	2.028426	2.00655	-1.02308615	1.671488	.1302169	.064895908	.4125376	7.270609
1	2	4	.04531522	-.521155494	.7707631	.04723277	-34.54604	.7324947	.04488766	-.09370737	1.08695143	-.002510022	-.2814808	3.003828006	3.897213	6.334593
1	1	7	3.417536	.621078299	.2188829	.01398036	.01960857	1.820491	.1162773	.9142906	310.05444864	-324.0337	.09864998	.107897839	.4929478	6.483091
1	2	5	.0781693	.677192982	.8837586	.06601863	14.40351	1.076468	.08041441	.03775883	.88456865	.03037667	.06277845	1.662616444	1.881302	7.811568
1	1	2	.727788	.681521195	.4045523	.02871969	.08494325	2.973516	.2110937	2.959992	-3.54714468	3.688646	.2685005	.090709844	.2242228	12.175229
1	2	3	.4310007	.664321032	.1406233	.3109118	.01861525	7.395029	16.35008	10.06911	-.84708981	1.301612	.1216074	.01207727	.08588387	4.599585
1	1	1	1.002989	.884553795	.2832254	.1441706	.04459384	-17.89877	-9.111034	5.914195	-.42430009	1.447308	.2990491	.050564631	.1785314	8.771707
1	1	4	.2896395	.663586175	.105879	.2164088	.09126451	1.218902	2.491346	.477341	-1.49258899	1.683718	.01901477	.039834774	.3762293	7.006204
1	2	5	.5611333	.646680742	.9554479	.09608843	.01946616	139.7234	14.05184	56.16053	-27.62260109	19.96064	.9486098	.016891042	.01767866	5.912273
1	2	5	.1126924	.587226039	.05488724	.009538231	.01087399	5.549865	.964448	21.56301	-20.14748776	13.38421	.04499741	.002086787	.03801953	8.312078
1	2	3	.6487975	.477541174	.7943277	.05565921	.07088998	12.36084	.8661345	7.58017	-1.12510939	2.625481	.7300661	.096312629	.1212505	7.437213
1	1	8	.510774	.679113665	.003842482	.8386013	.1065258	.04702659	10.26331	-.9718695	-.33327834	.9808469	-.07786622	.080120032	20.85112	7.127959
1	1	4	.2399014	.165723372	.0144103	.3137042	.0953164	.07433657	1.618266	-1.300489	-1.01721959	1.482806	-.1794417	.137980167	9.57511	8.159129
1	1	5	.9912878	3.206174502	.01745371	.0388407	-.2890892	-.2255702	-.5019739	-1.060962	10.46724885	-36.79915	.09482965	-.089380843	-5.121023	7.659824
1	2	2	.9389436	.84455545	.121573	.005118506	.09087352	3.261666	.1373237	.8344059	-4.5553451	5.808374	.0842997	.101029612	.8310202	7.145925
1	1	2	.4112653	.520737493	.2042431	.05245353	.1063008	6.265769	1.609169	2.044536	-1.49583089	1.858633	.1716464	.083953725	.4110481	10.268926
1	1	5	.07138439	.034955177	.0252956	.2361002	.1071372	.2111928	1.971199	-.4318219	-.98348988	2.147984	-.09447934	.218792377	8.649424	7.427334
1	2	4	.1071433	.113296201	.04993855	.110714	.10999	.637445	1.413219	-.2730637	-1.248221	1.757711	-.02840318	.104016693	2.082894	6.384061
1	2	2	.07406712	.782243222	.6226611	.003728446	14.24875	.989063	.005922433	-.005103493	.90531446	.05104042	-.006885379	1.349150464	2.166749	7.647041
